gene_id	control1	control2	control3	control4	treated1	treated2	treated3	treated4
SYN00631	269	323	441	504	364	307	262	182
SYN00632	6	3	7	5	4	6	3	6
SYN00633	3	9	18	14	16	9	22	13
SYN00634	2	2	1	1	1	2	0	1
SYN00635	15	13	21	13	14	14	10	12
SYN00636	8	9	15	8	7	4	10	14
SYN00637	60	48	59	48	33	39	76	56
SYN00638	25	48	60	47	52	51	53	54
SYN00639	68	58	66	36	61	20	57	70
SYN00640	64	40	61	41	49	58	87	64
SYN00641	29	19	34	34	28	15	33	23
SYN00642	52	34	28	36	35	30	64	39
SYN00643	0	2	0	1	0	0	0	0
SYN00644	14	31	33	31	32	18	40	31
SYN00645	3	5	5	3	2	4	2	2
SYN00646	247	226	195	220	273	228	211	212
SYN00647	2	1	3	2	1	3	1	0
SYN00648	1	8	1	4	1	3	9	5
SYN00649	97	101	89	101	86	110	96	108
SYN00650	28	31	26	33	27	37	48	38
SYN00651	9	8	11	4	9	10	7	3
SYN00652	78	83	95	79	94	108	97	128
SYN00653	58	56	64	61	51	43	46	21
SYN00654	4	5	1	4	6	1	4	5
SYN00655	19	12	32	21	12	19	36	26
SYN00656	13	19	21	19	20	38	16	21
SYN00657	7	11	17	13	18	9	11	12
SYN00658	224	234	224	296	254	216	306	328
SYN00659	18	11	11	22	20	19	18	13
SYN00660	37	31	34	63	33	58	50	68
SYN00661	36	28	19	23	22	13	26	27
SYN00662	129	124	139	175	132	120	198	88
SYN00663	75	103	92	99	70	94	103	63
SYN00664	33	44	44	32	33	30	46	52
SYN00665	96	61	66	60	45	64	64	68
SYN00666	126	103	71	73	138	71	70	105
SYN00667	228	252	171	204	134	175	285	279
SYN00668	6	10	21	9	12	5	10	12
SYN00669	5	2	5	4	3	3	4	2
SYN00670	34	31	27	34	37	18	35	23
SYN00671	47	38	37	46	30	31	44	31
SYN00672	22	11	22	9	8	17	11	17
SYN00673	35	32	52	45	40	32	59	39
SYN00674	0	0	0	0	0	0	0	1
SYN00675	18	8	23	17	15	8	13	23
SYN00676	0	1	1	6	2	1	2	3
SYN00677	125	127	113	157	77	102	119	106
SYN00678	143	150	189	179	133	126	231	187
SYN00679	37	50	47	60	29	16	36	55
SYN00680	29	22	34	17	14	23	29	19
SYN00681	5	4	8	6	20	4	9	4
SYN00682	25	22	43	29	32	26	50	36
SYN00683	16	5	10	18	17	15	20	24
SYN00684	4	4	8	4	2	7	1	5
SYN00685	153	100	198	164	146	139	165	147
SYN00686	9	7	9	5	8	11	10	7
SYN00687	12	11	14	17	27	10	19	18
SYN00688	57	24	52	55	44	60	67	48
SYN00689	38	18	35	29	44	38	47	48
SYN00690	32	30	47	42	26	37	50	37
SYN00691	780	705	684	981	642	703	1103	698
SYN00692	13	7	20	16	13	14	14	16
SYN00693	32	24	50	15	37	35	28	26
SYN00694	27	48	68	65	41	23	54	57
SYN00695	68	45	101	57	78	75	76	69
SYN00696	6	4	6	5	1	4	6	2
SYN00697	31	20	20	22	20	22	24	20
SYN00698	13	13	20	24	25	13	33	25
SYN00699	15	13	30	8	9	14	16	11
SYN00700	70	135	144	125	122	78	165	134
SYN00701	8	10	14	18	11	13	9	10
SYN00702	170	121	154	143	116	181	155	186
SYN00703	6	18	11	4	11	12	15	12
SYN00704	1044	1127	1096	1431	1133	1026	1479	1046
SYN00705	8	5	14	6	4	10	12	10
SYN00706	151	178	223	139	143	156	183	153
SYN00707	26	35	42	29	20	22	16	19
SYN00708	46	56	49	20	63	24	24	32
SYN00709	5	5	8	6	4	6	7	3
SYN00710	15	21	20	26	24	23	20	40
SYN00711	1	2	3	0	2	0	4	0
SYN00712	15	12	18	29	15	20	31	29
SYN00713	2	1	4	5	3	3	2	2
SYN00714	257	247	319	253	351	248	312	280
SYN00715	130	136	160	213	91	110	162	172
SYN00716	4	5	2	5	3	1	4	2
SYN00717	6	3	3	4	2	3	4	4
SYN00718	11	14	17	18	16	9	15	10
SYN00719	47	30	62	69	43	43	60	37
SYN00720	9	10	17	11	18	11	11	9
SYN00721	75	59	71	44	46	68	76	72
SYN00722	41	54	47	53	46	56	53	56
SYN00723	1	2	2	1	2	1	1	0
SYN00724	20	26	23	29	17	36	33	18
SYN00725	13	10	3	5	11	9	5	14
SYN00726	20	28	21	23	9	12	16	23
SYN00727	54	38	28	40	38	58	49	59
SYN00728	17	20	35	41	27	34	37	26
SYN00729	46	63	39	85	88	48	71	83
SYN00730	49	54	64	31	43	37	59	37
SYN00731	4	1	4	3	2	0	2	1
SYN00732	1	0	1	0	0	0	0	0
SYN00733	7	6	14	4	2	3	10	3
SYN00734	3	4	4	2	2	3	4	1
SYN00735	19	19	15	13	17	22	14	21
SYN00736	11	5	12	15	9	14	17	18
SYN00737	49	67	57	69	66	72	65	53
SYN00738	14	27	17	16	21	25	23	17
SYN00739	15	14	7	13	18	5	16	17
SYN00740	12	20	10	37	37	21	29	24
SYN00741	44	37	35	74	33	37	39	57
SYN00742	57	28	65	56	46	54	50	37
SYN00743	104	106	147	83	126	113	104	88
SYN00744	10	10	14	8	16	12	13	14
SYN00745	56	88	79	74	55	57	45	73
SYN00746	283	195	288	250	214	218	226	241
SYN00747	21	11	22	28	11	17	23	15
SYN00748	9	7	12	7	8	6	6	5
SYN00749	13	20	23	19	16	21	20	25
SYN00750	3	3	4	1	1	1	1	5
SYN00751	14	10	22	10	14	11	11	14
SYN00752	173	193	159	251	171	216	150	134
SYN00753	25	20	31	21	34	20	15	17
SYN00754	5	2	15	10	9	9	4	8
SYN00755	0	1	0	1	0	0	1	0
SYN00756	44	39	29	26	29	28	29	43
SYN00757	24	21	40	23	24	27	13	32
SYN00758	1	1	3	0	1	0	4	3
SYN00759	38	57	29	18	26	18	28	33
SYN00760	6	5	12	14	13	9	2	12
SYN00761	11	28	13	29	21	18	32	24
SYN00762	5	7	2	8	11	8	8	10
SYN00763	304	237	577	599	334	731	495	699
SYN00764	66	62	97	100	76	64	104	68
SYN00765	26	25	47	28	22	17	21	31
SYN00766	0	2	3	2	2	2	1	1
SYN00767	59	50	65	79	42	56	54	67
SYN00768	107	65	110	76	96	96	124	54
SYN00769	97	219	140	268	167	156	123	152
SYN00770	45	28	31	65	34	33	52	31
SYN00771	1	3	2	4	3	0	0	3
SYN00772	24	42	26	32	33	24	37	25
SYN00773	127	103	154	89	90	95	102	115
SYN00774	27	18	33	35	30	8	20	24
SYN00775	6	3	9	5	7	15	6	8
SYN00776	7	9	4	6	3	5	0	5
SYN00777	2	4	4	6	4	2	3	5
SYN00778	22	18	18	8	10	16	14	23
SYN00779	85	116	137	165	85	160	144	106
SYN00780	38	21	36	41	27	17	32	40
SYN00781	22	26	17	40	43	28	23	37
SYN00782	241	162	235	185	191	191	220	285
SYN00783	78	74	105	144	90	81	91	87
SYN00784	307	311	415	491	261	323	339	302
SYN00785	52	33	45	43	57	50	57	71
SYN00786	3	2	4	4	2	3	0	2
SYN00787	152	196	199	174	98	116	202	215
SYN00788	9	7	18	8	5	20	12	7
SYN00789	12	5	4	10	5	2	13	1
SYN00790	7	9	3	2	6	7	13	7
SYN00791	17	13	21	16	25	11	36	31
SYN00792	0	2	2	3	2	4	1	2
SYN00793	7	6	13	15	8	14	4	8
SYN00794	16	12	4	15	10	8	9	16
SYN00795	201	170	225	283	193	199	376	306
SYN00796	7	3	8	12	5	7	10	10
SYN00797	29	39	28	24	29	28	38	54
SYN00798	79	73	74	109	82	104	104	67
SYN00799	0	1	2	1	2	2	2	0
SYN00800	7	8	3	8	9	6	8	6
SYN00801	109	102	177	192	86	141	108	126
SYN00802	21	38	43	35	44	40	55	31
SYN00803	5	13	9	10	7	2	11	4
SYN00804	0	0	0	1	0	0	0	0
SYN00805	26	13	16	26	31	20	27	24
SYN00806	24	20	23	24	17	31	22	24
SYN00807	8	8	9	12	6	10	13	8
SYN00808	55	41	64	50	22	26	41	31
SYN00809	18	34	31	37	30	28	43	41
SYN00810	3	9	5	2	2	5	7	7
SYN00811	3	5	0	2	3	4	0	2
SYN00812	18	12	12	12	11	13	18	17
SYN00813	8	17	18	17	4	17	27	18
SYN00814	51	80	62	87	47	45	134	59
SYN00815	0	2	2	9	6	4	8	9
SYN00816	395	474	486	370	419	444	391	501
SYN00817	36	35	50	23	30	50	55	44
SYN00818	20	19	19	28	25	29	22	10
SYN00819	7	11	19	5	5	11	10	11
SYN00820	21	31	34	16	21	26	22	25
SYN00821	38	63	87	55	59	42	88	76
SYN00822	128	78	116	139	104	103	92	122
SYN00823	17	4	14	10	7	9	12	10
SYN00824	26	27	30	32	16	27	34	17
SYN00825	42	43	40	44	25	20	48	36
SYN00826	7	20	8	21	15	21	15	21
SYN00827	129	113	107	90	172	160	106	162
SYN00828	785	1021	957	599	713	877	836	758
SYN00829	85	93	86	63	108	123	76	157
SYN00830	9	7	13	8	5	10	9	8
SYN00831	5	12	9	17	16	12	16	18
SYN00832	431	377	635	426	358	473	460	686
SYN00833	1	1	5	3	3	1	3	2
SYN00834	13	9	13	8	16	18	12	15
SYN00835	14	14	25	34	29	21	33	27
SYN00836	3	0	2	0	0	0	0	2
SYN00837	10	13	9	8	8	11	14	11
SYN00838	30	22	24	19	19	17	27	22
SYN00839	3	7	1	5	4	5	3	4
SYN00840	8	15	9	11	13	6	9	14
SYN00841	21	59	31	23	25	47	37	42
SYN00842	16	16	36	11	23	27	30	23
SYN00843	6	3	11	5	9	5	8	8
SYN00844	102	82	62	63	40	66	85	88
SYN00845	31	25	22	23	33	24	29	25
SYN00846	89	101	97	96	141	138	148	139
SYN00847	15	5	6	10	14	10	8	11
SYN00848	1	0	0	2	1	1	3	1
SYN00849	77	67	55	81	89	73	73	61
SYN00850	11	5	7	9	6	3	7	7
SYN00851	35	49	40	63	39	52	54	44
SYN00852	48	90	100	117	61	109	73	94
SYN00853	60	41	60	88	70	80	57	87
SYN00854	27	11	24	25	10	9	14	22
SYN00855	121	164	84	87	114	100	129	205
SYN00856	402	385	371	289	422	309	354	379
SYN00857	25	32	27	23	26	32	17	44
SYN00858	14	30	38	26	34	24	25	30
SYN00859	21	20	13	14	10	13	14	17
SYN00860	84	53	51	73	69	39	66	44
SYN00861	1	3	2	4	3	5	5	12
SYN00862	168	148	171	202	134	170	198	173
SYN00863	6	7	5	4	5	9	8	5
SYN00864	4	4	13	5	8	7	5	6
SYN00865	7	2	7	5	3	5	2	1
SYN00866	26	40	48	61	33	23	36	37
SYN00867	48	34	39	41	50	28	34	44
SYN00868	28	26	37	30	33	18	30	40
SYN00869	4	4	4	3	3	4	4	2
SYN00870	88	49	86	60	89	75	85	84
SYN00871	2	3	2	1	2	2	5	1
SYN00872	174	295	322	219	198	190	188	215
SYN00873	17	14	10	15	13	11	9	17
SYN00874	37	60	47	48	44	32	27	30
SYN00875	1202	970	1563	1302	917	1288	1355	1189
SYN00876	24	20	37	32	19	18	15	20
SYN00877	21	13	3	16	16	14	25	16
SYN00878	59	57	50	61	50	43	64	53
SYN00879	27	35	25	22	39	25	31	29
SYN00880	6	12	5	2	2	6	14	6
SYN00881	93	85	118	81	70	80	113	78
SYN00882	103	107	103	80	80	61	86	76
SYN00883	7	7	10	11	11	7	14	9
SYN00884	6	5	6	5	8	4	4	2
SYN00885	18	16	25	19	15	24	15	13
SYN00886	0	0	0	1	0	0	1	0
SYN00887	15	22	19	20	16	16	18	14
SYN00888	255	183	176	244	132	138	208	172
SYN00889	32	43	22	36	36	20	43	35
SYN00890	0	0	2	0	0	0	0	2
SYN00891	755	770	725	1083	878	641	769	923
SYN00892	15	12	20	17	20	25	22	18
SYN00893	133	234	209	180	209	206	225	275
SYN00894	116	111	217	136	141	175	155	134
SYN00895	249	311	356	333	236	314	339	464
SYN00896	63	56	55	60	65	76	70	63
SYN00897	1	0	1	0	0	2	2	2
SYN00898	11	12	5	5	12	12	17	7
SYN00899	307	240	476	270	230	332	322	433
SYN00900	11	7	6	12	10	10	2	7
SYN00901	19	13	28	22	28	26	28	29
SYN00902	504	510	624	394	426	504	462	270
SYN00903	39	30	37	29	26	24	41	21
SYN00904	23	8	16	26	21	22	13	30
SYN00905	32	32	45	36	50	37	55	40
SYN00906	91	44	67	70	97	40	89	99
SYN00907	48	32	37	51	35	67	47	47
SYN00908	39	15	47	42	47	56	62	62
SYN00909	2	0	2	4	1	2	2	2
SYN00910	6	13	3	17	8	7	13	5
SYN00911	12	19	15	22	34	16	24	25
SYN00912	5	7	11	9	11	9	8	14
SYN00913	22	12	15	23	22	27	14	35
SYN00914	158	199	240	187	224	209	240	251
SYN00915	17	15	16	22	18	17	23	31
SYN00916	22	10	13	21	19	12	22	19
SYN00917	7	1	2	1	5	3	4	6
SYN00918	2	1	8	4	2	3	4	3
SYN00919	75	71	86	116	114	69	83	67
SYN00920	129	116	150	152	163	143	108	164
SYN00921	59	96	50	79	78	54	64	112
SYN00922	14	10	32	32	20	13	27	12
SYN00923	2	14	9	6	9	7	11	11
SYN00924	10	2	7	3	8	13	11	14
SYN00925	718	756	601	746	691	476	719	820
SYN00926	65	66	97	82	98	94	60	56
SYN00927	72	56	98	46	79	64	50	90
SYN00928	56	92	103	60	81	54	38	62
SYN00929	7	9	13	10	12	11	14	10
SYN00930	35	32	32	29	22	46	49	34
SYN00931	0	1	4	3	4	1	0	0
SYN00932	340	458	537	315	488	355	416	522
SYN00933	8	6	19	4	5	7	6	10
SYN00934	2	3	6	3	2	2	1	5
SYN00935	33	24	31	23	20	12	35	35
SYN00936	7	15	5	13	11	7	15	12
SYN00937	129	158	112	175	182	128	129	151
SYN00938	20	17	31	29	20	23	18	44
SYN00939	9	3	9	8	16	12	14	6
SYN00940	10	11	8	4	2	9	9	5
SYN00941	11	9	9	6	9	17	12	25
SYN00942	112	139	84	82	153	106	103	107
SYN00943	42	62	65	31	46	44	40	37
SYN00944	1	4	2	1	5	5	5	3
SYN00945	64	37	62	42	40	33	47	33
SYN00946	28	17	22	31	25	28	30	32
SYN00947	29	19	31	31	31	24	28	37
SYN00948	107	70	105	61	64	60	49	77
SYN00949	108	119	128	100	85	67	135	136
SYN00950	5	1	4	8	7	7	4	4
SYN00951	5	5	2	4	5	5	6	7
SYN00952	14	17	16	12	15	12	28	23
SYN00953	13	11	17	10	11	16	8	7
SYN00954	12	17	16	9	20	25	17	18
SYN00955	38	41	79	42	34	50	46	83
SYN00956	105	74	137	123	137	68	113	144
SYN00957	10	5	12	7	5	13	8	5
SYN00958	9	19	17	28	16	6	11	26
SYN00959	10	7	5	13	5	8	10	9
SYN00960	13	8	6	14	10	13	14	12
SYN00961	1	10	6	4	6	5	2	6
SYN00962	20	33	16	20	14	21	34	24
SYN00963	18	17	18	10	11	7	14	16
SYN00964	2	1	7	7	8	5	9	6
SYN00965	31	28	38	26	26	24	39	21
SYN00966	111	138	154	157	101	131	131	163
SYN00967	87	80	110	106	69	102	76	101
SYN00968	11	12	12	21	7	15	13	13
SYN00969	5	3	5	3	7	6	6	3
SYN00970	65	80	51	43	40	44	70	79
SYN00971	53	79	106	92	79	71	103	99
SYN00972	7	5	14	11	5	15	15	7
SYN00973	25	24	33	34	17	31	20	24
SYN00974	136	170	122	154	143	137	116	155
SYN00975	4	7	6	10	1	2	9	8
SYN00976	1	3	6	6	2	1	3	3
SYN00977	54	92	79	66	43	64	105	76
SYN00978	149	179	207	136	101	124	227	136
SYN00979	20	9	26	27	23	23	24	30
SYN00980	9	6	13	13	13	7	6	12
SYN00981	15	19	25	16	23	21	18	23
SYN00982	9	6	7	12	4	10	7	9
SYN00983	69	63	50	89	95	76	72	87
SYN00984	15	16	20	23	24	24	22	19
SYN00985	35	24	43	43	53	31	30	54
SYN00986	156	133	168	133	93	125	167	166
SYN00987	20	30	29	36	36	31	36	30
SYN00988	824	744	777	909	613	742	866	831
SYN00989	14	19	17	18	19	12	16	19
SYN00990	57	40	71	64	52	56	84	73
SYN00991	35	61	38	30	32	19	31	31
SYN00992	74	97	84	68	72	57	102	85
SYN00993	239	262	288	195	154	150	274	168
SYN00994	13	9	13	18	19	10	15	13
SYN00995	11	13	8	7	15	8	2	14
SYN00996	22	23	34	26	17	17	25	23
SYN00997	1	6	6	4	9	4	9	11
SYN00998	162	194	236	189	203	173	116	226
SYN00999	74	50	76	81	58	49	73	70
SYN01000	18	24	21	16	14	15	21	27
SYN01001	7	4	4	3	4	2	4	5
SYN01002	4	3	3	0	2	0	0	2
SYN01003	21	11	15	16	15	9	28	15
SYN01004	141	139	201	103	109	114	178	175
SYN01005	5	6	1	3	10	5	2	6
SYN01006	25	26	28	27	10	18	23	30
SYN01007	201	305	278	316	184	242	234	172
SYN01008	39	36	95	69	83	80	66	66
SYN01009	1	3	0	2	1	3	1	1
SYN01010	27	19	24	16	20	27	16	21
SYN01011	64	49	21	71	69	47	58	49
SYN01012	59	28	46	26	33	30	30	25
SYN01013	37	45	52	52	35	32	45	53
SYN01014	9	8	10	4	6	13	10	1
SYN01015	32	22	48	36	40	17	25	31
SYN01016	16	32	21	19	23	24	32	14
SYN01017	25	24	62	55	39	41	36	38
SYN01018	101	53	75	91	60	88	76	81
SYN01019	59	59	33	63	79	49	87	63
SYN01020	37	27	39	41	37	27	59	64
SYN01021	7	5	4	10	9	3	7	6
SYN01022	26	19	25	31	15	42	36	40
SYN01023	22	11	18	16	13	14	18	20
SYN01024	1	3	3	3	4	5	9	3
SYN01025	6	7	9	6	9	5	6	4
SYN01026	29	22	10	32	21	28	25	35
SYN01027	36	42	47	33	24	36	37	32
SYN01028	25	13	16	15	12	15	22	29
SYN01029	13	21	32	29	29	24	22	23
SYN01030	34	39	54	35	27	28	28	39
SYN01031	4	2	4	3	7	2	2	1
SYN01032	1	4	7	3	1	4	2	0
SYN01033	44	19	21	51	25	30	31	35
SYN01034	57	38	58	29	62	57	50	52
SYN01035	14	11	13	18	10	14	10	10
SYN01036	3	1	7	4	4	2	8	5
SYN01037	13	19	19	31	15	16	29	26
SYN01038	19	26	36	22	32	22	27	32
SYN01039	26	24	23	22	18	19	16	14
SYN01040	9	7	10	12	9	6	10	7
SYN01041	40	66	83	84	72	51	45	50
SYN01042	86	87	139	130	110	84	142	131
SYN01043	8	5	6	9	2	9	8	7
SYN01044	23	27	28	30	22	22	27	28
SYN01045	0	3	2	1	0	2	2	2
SYN01046	13	18	28	14	35	22	23	36
SYN01047	5	10	19	15	14	13	6	20
SYN01048	13	21	11	17	7	6	16	11
SYN01049	72	51	67	77	41	44	46	80
SYN01050	34	34	44	32	22	23	31	34
SYN01051	94	78	104	98	83	77	147	79
SYN01052	1	1	7	0	6	3	5	4
SYN01053	30	40	34	34	29	21	53	33
SYN01054	12	23	20	9	13	11	17	9
SYN01055	1	0	2	2	2	2	2	3
SYN01056	0	2	2	3	4	3	1	2
SYN01057	532	505	549	557	668	471	707	549
SYN01058	88	104	108	109	124	88	88	102
SYN01059	9	7	9	5	12	9	13	10
SYN01060	85	96	67	68	99	98	86	56
SYN01061	15	15	23	17	24	23	37	17
SYN01062	134	226	255	174	188	196	262	249
SYN01063	50	21	74	46	31	72	68	72
SYN01064	15	22	10	9	11	20	28	29
SYN01065	143	130	130	186	95	106	183	155
SYN01066	12	6	21	16	16	13	16	11
SYN01067	10	6	16	14	7	14	14	9
SYN01068	31	61	44	80	34	45	39	47
SYN01069	3	5	4	7	2	5	6	8
SYN01070	21	30	34	43	21	22	40	50
SYN01071	48	31	36	26	33	35	24	51
SYN01072	52	50	70	78	38	45	47	59
SYN01073	2	6	5	3	2	2	3	3
SYN01074	189	118	120	103	140	108	107	156
SYN01075	85	99	115	91	64	75	134	119
SYN01076	16	16	23	24	18	33	48	28
SYN01077	3	3	3	3	5	2	0	3
SYN01078	5	8	7	6	5	8	4	9
SYN01079	21	27	17	29	27	17	27	25
SYN01080	153	194	140	98	168	173	229	100
SYN01081	6	15	15	11	21	9	22	31
SYN01082	81	49	35	66	71	47	95	51
SYN01083	18	28	29	20	31	34	23	34
SYN01084	15	17	40	16	19	28	28	30
SYN01085	3	5	3	3	6	12	15	2
SYN01086	7	12	5	8	6	6	12	5
SYN01087	33	29	35	41	23	46	35	40
SYN01088	40	21	18	22	39	13	26	39
SYN01089	13	16	7	12	10	6	5	10
SYN01090	609	595	403	672	393	583	466	499
SYN01091	10	14	7	14	8	8	7	12
SYN01092	62	49	64	52	46	68	79	93
SYN01093	191	351	426	314	319	427	459	540
SYN01094	21	16	17	36	28	20	30	56
SYN01095	86	82	86	102	79	106	90	78
SYN01096	189	94	128	110	118	147	159	128
SYN01097	135	82	111	96	80	124	128	84
SYN01098	15	27	33	35	38	31	29	15
SYN01099	36	31	35	44	27	43	36	41
SYN01100	181	164	174	114	188	103	131	267
SYN01101	26	22	29	49	26	32	32	34
SYN01102	129	197	198	331	195	231	215	322
SYN01103	22	15	21	30	22	20	28	17
SYN01104	56	52	65	53	67	56	69	49
SYN01105	48	45	44	62	45	57	62	65
SYN01106	169	176	172	175	165	201	172	234
SYN01107	9	4	2	7	9	9	9	10
SYN01108	21	21	18	14	25	21	18	18
SYN01109	5	6	5	3	4	3	10	3
SYN01110	8	8	10	9	6	10	7	16
SYN01111	26	17	12	12	12	18	16	7
SYN01112	13	10	16	6	16	7	13	16
SYN01113	455	561	655	446	660	347	664	573
SYN01114	83	79	76	72	87	48	82	75
SYN01115	15	14	12	22	13	11	16	19
SYN01116	12	11	9	14	16	10	14	11
SYN01117	7	7	3	9	5	4	11	11
SYN01118	1	0	3	3	2	0	4	4
SYN01119	32	31	48	47	21	25	43	38
SYN01120	35	35	65	58	27	36	62	39
SYN01121	26	40	51	39	21	43	40	34
SYN01122	6	5	4	8	4	6	0	2
SYN01123	35	22	47	31	35	27	33	45
SYN01124	9	11	5	11	11	10	4	12
SYN01125	6	5	7	8	2	7	3	6
SYN01126	57	49	52	49	35	36	50	42
SYN01127	114	110	142	161	119	169	191	173
SYN01128	47	82	81	53	80	57	98	70
SYN01129	10	8	7	11	11	2	18	8
SYN01130	66	77	67	88	48	54	70	91
SYN01131	140	100	116	101	160	78	119	172
SYN01132	93	116	96	94	85	153	131	69
SYN01133	47	28	63	54	47	38	50	63
SYN01134	4	4	11	11	7	8	3	12
SYN01135	2	0	1	1	1	3	4	2
SYN01136	12	17	13	12	27	14	11	17
SYN01137	84	90	72	107	76	82	75	47
SYN01138	0	1	3	0	0	1	0	0
SYN01139	76	119	90	139	131	112	90	133
SYN01140	218	226	284	260	233	233	248	338
SYN01141	36	44	51	63	50	51	41	38
SYN01142	7	6	5	7	8	4	12	10
SYN01143	1	0	0	1	0	0	0	0
SYN01144	4	3	0	1	2	2	5	2
SYN01145	54	62	64	46	54	33	39	60
SYN01146	43	38	41	63	52	25	51	53
SYN01147	43	43	28	43	28	33	60	35
SYN01148	11	15	13	5	4	8	13	13
SYN01149	38	18	26	35	25	23	30	25
SYN01150	10	8	14	18	6	17	13	11
SYN01151	38	26	31	35	35	14	22	38
SYN01152	34	35	45	32	48	43	41	32
SYN01153	2476	1409	1812	2127	1106	2178	2475	1776
SYN01154	206	192	200	232	193	185	220	145
SYN01155	70	72	147	56	66	73	119	97
SYN01156	20	20	15	22	16	15	14	24
SYN01157	7	21	15	14	10	8	12	21
SYN01158	9	22	5	15	16	10	10	14
SYN01159	0	2	5	3	0	3	3	2
SYN01160	21	37	24	21	19	15	15	27
SYN01161	4	4	4	5	5	3	7	7
SYN01162	4	6	9	8	8	5	7	4
SYN01163	12	13	12	1	7	9	10	6
SYN01164	49	40	69	26	42	39	40	47
SYN01165	1	3	5	5	3	3	4	3
SYN01166	50	63	61	83	98	63	63	95
SYN01167	4	4	0	4	5	4	2	3
SYN01168	32	19	29	45	31	31	29	22
SYN01169	5	16	21	14	20	13	10	14
SYN01170	7	8	5	14	12	3	5	8
SYN01171	28	23	33	36	18	17	39	36
SYN01172	12	15	26	27	18	19	17	15
SYN01173	39	41	58	35	44	28	50	72
SYN01174	8	2	4	4	5	5	10	7
SYN01175	13	17	16	21	9	10	11	17
SYN01176	16	7	37	23	33	25	19	32
SYN01177	7	5	11	19	13	8	13	11
SYN01178	4	8	10	9	5	4	3	3
SYN01179	49	31	29	31	34	24	23	49
SYN01180	37	20	25	13	29	22	22	34
SYN01181	7	14	18	5	13	14	10	17
SYN01182	7	7	16	13	5	8	4	9
SYN01183	41	38	67	40	38	85	47	35
SYN01184	8	7	6	12	7	3	4	6
SYN01185	32	34	44	47	36	43	41	47
SYN01186	14	11	12	12	7	13	35	21
SYN01187	3	4	6	6	0	5	3	6
SYN01188	13	8	10	17	5	9	4	9
SYN01189	35	26	33	41	25	36	37	58
SYN01190	85	67	64	76	70	71	48	68
SYN01191	29	19	31	23	36	14	23	28
SYN01192	39	23	50	43	57	41	31	42
SYN01193	103	144	164	157	146	168	97	123
SYN01194	63	44	49	46	42	59	48	45
SYN01195	43	22	37	42	28	35	35	29
SYN01196	5	1	8	1	1	2	2	3
SYN01197	6	2	11	6	6	3	3	1
SYN01198	17	20	9	17	30	13	21	13
SYN01199	7	5	14	11	10	9	6	2
SYN01200	8	5	5	21	15	22	9	16
SYN01201	12	17	18	12	15	10	22	18
SYN01202	63	95	97	107	58	78	123	93
SYN01203	80	79	72	78	45	123	101	84
SYN01204	1	3	2	0	4	4	2	7
SYN01205	10	7	6	3	5	5	10	6
SYN01206	8	3	4	2	7	3	5	4
SYN01207	18	13	16	13	12	22	13	14
SYN01208	10	16	11	17	6	10	25	15
SYN01209	18	24	32	21	20	27	17	26
SYN01210	187	337	301	327	229	223	335	157
SYN01211	69	66	56	62	65	39	43	66
SYN01212	13	14	14	23	10	21	10	18
SYN01213	69	43	63	57	43	42	44	43
SYN01214	27	39	45	48	38	39	37	34
SYN01215	11	13	8	8	4	13	9	27
SYN01216	5	2	4	6	4	4	7	5
SYN01217	15	15	33	13	10	10	19	19
SYN01218	238	219	287	241	168	98	272	196
SYN01219	78	76	75	152	109	78	108	95
SYN01220	48	33	36	38	45	45	46	39
SYN01221	27	40	69	37	54	43	55	31
SYN01222	3	4	3	4	1	1	2	1
SYN01223	37	23	27	42	30	16	30	47
SYN01224	3	1	7	6	2	4	3	0
SYN01225	0	2	0	4	1	5	1	3
SYN01226	23	25	17	35	25	20	23	25
SYN01227	154	208	114	205	76	150	187	141
SYN01228	138	163	175	154	205	202	171	184
SYN01229	52	46	63	56	39	52	75	53
SYN01230	54	93	102	106	95	65	105	80
SYN01231	3	2	3	4	2	1	4	1
SYN01232	95	88	151	96	78	53	66	93
SYN01233	10	24	18	24	30	23	44	30
SYN01234	1	1	1	0	2	1	3	0
SYN01235	10	2	2	1	5	8	7	2
SYN01236	16	13	21	29	30	20	14	28
SYN01237	17	17	29	37	17	21	14	18
SYN01238	72	75	90	76	98	62	90	63
SYN01239	16	9	16	19	9	14	20	8
SYN01240	61	65	77	77	68	71	75	93
SYN01241	233	199	226	180	279	176	223	213
SYN01242	21	22	20	21	25	17	33	24
SYN01243	18	19	18	22	21	14	22	22
SYN01244	10	9	14	12	11	7	7	4
SYN01245	50	55	65	67	51	85	47	82
SYN01246	4	2	6	4	6	4	7	6
SYN01247	7	6	14	12	7	7	17	12
SYN01248	9	6	12	6	3	11	10	9
SYN01249	76	91	163	138	82	86	84	139
SYN01250	37	101	59	86	39	52	60	66
SYN01251	8	11	6	11	6	6	7	5
SYN01252	145	108	188	154	108	157	200	188
SYN01253	2	2	1	1	3	4	0	2
SYN01254	12	6	10	5	14	6	5	14
SYN01255	7	6	10	11	6	4	12	8
SYN01256	25	27	48	43	37	23	48	38
SYN01257	13	14	13	9	13	20	24	19
SYN01258	61	76	115	81	66	60	68	104
SYN01259	9	7	7	9	3	4	5	9
SYN01260	9	12	29	12	9	13	13	9
SYN01261	29	24	38	35	21	31	25	28
SYN01262	5	3	4	7	7	5	4	3
SYN01263	56	23	39	28	27	46	55	46
